127.0.0.1 - - [31/Aug/2022:09:37:59 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [31/Aug/2022:09:38:24 +0900] "GET /java-cafe/kiosk/main HTTP/1.1" 200 6538
0:0:0:0:0:0:0:1 - - [31/Aug/2022:09:38:24 +0900] "GET /java-cafe/resources/css/customize.css;jsessionid=2AE8A0CD7E24A51FEA0373B00C2F2180 HTTP/1.1" 200 3721
0:0:0:0:0:0:0:1 - - [31/Aug/2022:09:38:24 +0900] "GET /java-cafe/resources/css/main.css;jsessionid=2AE8A0CD7E24A51FEA0373B00C2F2180 HTTP/1.1" 200 2184
0:0:0:0:0:0:0:1 - - [31/Aug/2022:09:38:24 +0900] "GET /java-cafe/resources/coffee.png;jsessionid=2AE8A0CD7E24A51FEA0373B00C2F2180 HTTP/1.1" 200 4099
0:0:0:0:0:0:0:1 - - [31/Aug/2022:09:38:24 +0900] "GET /java-cafe/resources/js/main.js;jsessionid=2AE8A0CD7E24A51FEA0373B00C2F2180 HTTP/1.1" 200 5142
0:0:0:0:0:0:0:1 - - [31/Aug/2022:09:38:24 +0900] "GET /java-cafe/resources/menuImg/ee0d6ff9929b47b08ebed3d5bf115384.png HTTP/1.1" 200 37726
0:0:0:0:0:0:0:1 - - [31/Aug/2022:09:38:24 +0900] "GET /java-cafe/resources/menuImg/a2dff5e0ea254b3c944590962456deb2.png HTTP/1.1" 200 31968
0:0:0:0:0:0:0:1 - - [31/Aug/2022:09:38:24 +0900] "GET /java-cafe/resources/menuImg/9697857d697e4e4183035ffd4ca396ef.png HTTP/1.1" 200 49118
0:0:0:0:0:0:0:1 - - [31/Aug/2022:09:38:24 +0900] "GET /java-cafe/resources/menuImg/595c7bf95c9b4837905000d88fad6735.png HTTP/1.1" 200 48103
0:0:0:0:0:0:0:1 - - [31/Aug/2022:09:38:24 +0900] "GET /java-cafe/resources/menuImg/d0483e3048d14e249f8df524df540f78.png HTTP/1.1" 200 41211
0:0:0:0:0:0:0:1 - - [31/Aug/2022:09:38:24 +0900] "GET /java-cafe/resources/menuImg/61f440cc55294fe9b63d3bff4b32d997.png HTTP/1.1" 200 55542
0:0:0:0:0:0:0:1 - - [31/Aug/2022:09:38:24 +0900] "GET /java-cafe/resources/menuImg/f0de69f6e3fb48d9af21bb98a6f3fcea.png HTTP/1.1" 200 50384
0:0:0:0:0:0:0:1 - - [31/Aug/2022:09:38:24 +0900] "GET /java-cafe/resources/menuImg/843570b17afd4d269bc5360fa05c2452.png HTTP/1.1" 200 36409
0:0:0:0:0:0:0:1 - - [31/Aug/2022:09:38:24 +0900] "GET /java-cafe/resources/menuImg/feff2e1826f14839bf601fc5a03b5f08.png HTTP/1.1" 200 59551
0:0:0:0:0:0:0:1 - - [31/Aug/2022:09:38:24 +0900] "GET /java-cafe/resources/menuImg/d497007002754efa8cae4b365b471848.png HTTP/1.1" 200 41482
0:0:0:0:0:0:0:1 - - [31/Aug/2022:09:38:24 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [31/Aug/2022:09:38:31 +0900] "POST /java-cafe/kiosk/requestObject HTTP/1.1" 200 3392
0:0:0:0:0:0:0:1 - - [31/Aug/2022:09:38:31 +0900] "GET /java-cafe/resources/menuImg/6bc789cc46ad4b15991ee13d18ca103d.png HTTP/1.1" 200 57297
0:0:0:0:0:0:0:1 - - [31/Aug/2022:09:38:31 +0900] "GET /java-cafe/resources/menuImg/6d5410b11fa04cecaf620b12a49e13a9.png HTTP/1.1" 200 58213
0:0:0:0:0:0:0:1 - - [31/Aug/2022:09:38:31 +0900] "GET /java-cafe/resources/menuImg/641fb9cf987547a997997f025954760b.png HTTP/1.1" 200 44028
0:0:0:0:0:0:0:1 - - [31/Aug/2022:09:38:31 +0900] "GET /java-cafe/resources/menuImg/b829f70729e041b48ebd08d4e5f9768a.png HTTP/1.1" 200 45744
0:0:0:0:0:0:0:1 - - [31/Aug/2022:09:38:31 +0900] "GET /java-cafe/resources/menuImg/7963a16a02ed44b6a4840db17c0c14eb.png HTTP/1.1" 200 56491
